experimentVariant,caseId,grievanceId,experimentState,failureReason,title,category,subcategory,sensitiveCategory,submissionTimestamp,aiDecisionTimestamp,aiLatencyMillis,finalStatus,assignedFaculty,priority,sentiment,aiResolved,aiConfidence,aiTitle,aiModelName,retrievedReferenceCount,retrievedReferenceIds,retrievedReferenceSources,top1SimilarityScore,averageRetrievedSimilarityScore
"rag_disabled","live-001-cia-marks-not-posted","243","completed",,"Internal exam marks still not visible","Academic","Exams","false","2026-04-12T21:29:16.58936","2026-04-12T21:29:37.667711","21078","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Internal exam marks not visible in portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-002-absent-tagged-internal","244","completed",,"Marked absent in sessional test even after attending","Academic","Exams","false","2026-04-12T21:29:57.973865","2026-04-12T21:31:16.879863","78905","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Sessional test attendance marked incorrectly","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-003-practical-score-mismatch","245","completed",,"Practical marks in portal do not match faculty sheet","Academic","Exams","false","2026-04-12T21:31:37.185946","2026-04-12T21:31:59.904593","22718","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.765000","Practical marks mismatch between faculty sheet and portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-004-elective-internal-missing","246","completed",,"Elective internal marks missing after update","Academic","Exams","false","2026-04-12T21:32:20.648969","2026-04-12T21:32:45.685575","25036","IN_PROGRESS","examcell@college.edu","MEDIUM","NEGATIVE","false","0.730000","Elective internal marks missing for section after update","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-005-sgpa-miscalculation","247","completed",,"SGPA has not changed after approved grade correction","Academic","Grades","false","2026-04-12T21:33:06.147417","2026-04-12T21:33:29.620541","23473","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.730000","SGPA not updated after grade correction approval","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-006-lab-grade-not-reflecting","248","completed",,"Lab course grade is blank in semester result","Academic","Grades","false","2026-04-12T21:33:50.611382","2026-04-12T21:34:09.538886","18927","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","Lab course grade blank in semester result","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-007-wrong-letter-grade","249","completed",,"Portal is showing the wrong letter grade","Academic","Grades","false","2026-04-12T21:34:30.033705","2026-04-12T21:34:54.821098","24787","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","Portal letter grade mismatch with grading policy","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-008-grade-change-approved-not-updated","250","completed",,"Approved grade change has not updated on the portal","Academic","Grades","false","2026-04-12T21:35:15.550901","2026-04-12T21:35:40.192316","24641","IN_PROGRESS","faculty@college.edu","MEDIUM","POSITIVE","false","0.765000","Approved grade change not reflected on portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-009-biometric-missing-entries","251","completed",,"Biometric attendance entries are missing","Academic","Attendance","false","2026-04-12T21:36:01.060964","2026-04-12T21:36:26.742906","25681","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.730000","Missing biometric attendance entries in portal","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-010-tutorial-sync-delay","252","completed",,"Tutorial attendance is not synced in ERP","Academic","Attendance","false","2026-04-12T21:36:47.612918","2026-04-12T21:37:12.198798","24585","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.700000","Tutorial attendance not synced in ERP","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-011-medical-leave-not-counted","253","completed",,"Approved medical leave was not counted in attendance","Academic","Attendance","false","2026-04-12T21:37:33.169082","2026-04-12T21:38:08.650489","35481","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.730000","Approved medical leave not reflected in attendance","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-012-duty-leave-not-updated","254","completed",,"Duty leave attendance for college event not updated","Academic","Attendance","false","2026-04-12T21:38:28.913433","2026-04-12T21:38:55.830608","26917","IN_PROGRESS","faculty@college.edu","MEDIUM","NEGATIVE","false","0.765000","Duty leave attendance not updated for college event","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-013-bonafide-delay","255","completed",,"Bonafide certificate request is still pending","Administrative","Certificates","false","2026-04-12T21:39:16.468956","2026-04-12T21:39:37.730214","21261","IN_PROGRESS","faculty2@college.edu","MEDIUM","POSITIVE","false","0.730000","Bonafide certificate pending near scholarship deadline","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-014-transcript-request-pending","256","completed",,"Transcript request is stuck in verification","Administrative","Certificates","false","2026-04-12T21:39:57.971634","2026-04-12T21:40:26.975779","29004","IN_PROGRESS","faculty2@college.edu","MEDIUM","POSITIVE","false","0.730000","Transcript request stuck in verification for external admission","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-015-id-card-letter","257","completed",,"Duplicate ID card letter has not been issued","Administrative","Certificates","false","2026-04-12T21:40:47.574064","2026-04-12T21:41:16.197883","28623","RESOLVED","faculty2@college.edu","MEDIUM","NEGATIVE","true","0.730000","Duplicate ID card letter issuance pending","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-016-no-dues-certificate-delay","258","completed",,"No-dues certificate is delayed despite clearances","Administrative","Certificates","false","2026-04-12T21:41:37.243343","2026-04-12T21:42:05.516384","28273","IN_PROGRESS","faculty2@college.edu","MEDIUM","NEGATIVE","false","0.730000","No-dues certificate delay for internship paperwork","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-017-verification-letter-typo","259","completed",,"Internship verification letter has a registration number typo","Administrative","Certificates","false","2026-04-12T21:42:25.881886","2026-04-12T21:42:54.115931","28234","RESOLVED","faculty2@college.edu","MEDIUM","NEGATIVE","true","0.765000","Internship verification letter has registration number typo","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-018-section-transfer-pending","260","completed",,"Section transfer request is still pending","Administrative","Transfers","false","2026-04-12T21:43:14.554415","2026-04-12T21:43:38.728735","24174","IN_PROGRESS","faculty2@college.edu","MEDIUM","NEGATIVE","false","0.765000","Section transfer pending after faculty approval","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-019-hostel-transfer-routing","261","completed",,"Hostel transfer application is not moving","Administrative","Transfers","false","2026-04-12T21:43:59.13946","2026-04-12T21:44:22.035955","22896","RESOLVED","faculty2@college.edu","MEDIUM","NEGATIVE","true","0.765000","Hostel transfer pending after warden recommendation","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-020-elective-batch-transfer","262","completed",,"Elective batch transfer has not been updated","Administrative","Transfers","false","2026-04-12T21:44:42.70835","2026-04-12T21:45:06.781156","24072","IN_PROGRESS","faculty2@college.edu","MEDIUM","NEGATIVE","false","0.700000","Elective batch transfer not updated after approval","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
"rag_disabled","live-021-branch-migration-documents","263","completed",,"Branch migration documents are delayed in workflow","Administrative","Transfers","false","2026-04-12T21:45:27.297621","2026-04-12T21:45:49.230283","21932","IN_PROGRESS","faculty2@college.edu","MEDIUM","NEGATIVE","false","0.730000","Branch migration paperwork delayed in administrative workflow","deepseek-chat + sentiment:siebert/sentiment-roberta-large-english","0","","",,
